[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 5342090
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 44491
[Epoch 1] Step 50/166941 Loss: 1.4193 | 0.97s/step | ETA 44:59m
[Epoch 1] Step 1950/166941 Loss: 0.0463 | 0.88s/step | ETA 40:10m
[Epoch 1] Step 2000/166941 Loss: 0.0463 | 0.88s/step | ETA 40:20m
[Epoch 1] Step 2050/166941 Loss: 0.0456 | 0.88s/step | ETA 40:25m
[Epoch 1] Step 2100/166941 Loss: 0.0457 | 0.88s/step | ETA 40:22m
[Epoch 1] Step 2150/166941 Loss: 0.0446 | 0.88s/step | ETA 40:23m
[Epoch 1] Step 2200/166941 Loss: 0.0461 | 0.88s/step | ETA 40:24m
[Epoch 1] Step 2250/166941 Loss: 0.0453 | 0.88s/step | ETA 40:23m
[Epoch 1] Step 2300/166941 Loss: 0.0445 | 0.88s/step | ETA 40:23m
[Epoch 1] Step 2350/166941 Loss: 0.0447 | 0.88s/step | ETA 40:21m
[Epoch 1] Step 2400/166941 Loss: 0.0443 | 0.88s/step | ETA 40:22m
[Epoch 1] Step 2450/166941 Loss: 0.0443 | 0.88s/step | ETA 40:22m
[Epoch 1] Step 2500/166941 Loss: 0.0442 | 0.88s/step | ETA 40:23m
[Epoch 1] Step 2550/166941 Loss: 0.0431 | 0.89s/step | ETA 40:27m
[Epoch 1] Step 2600/166941 Loss: 0.0434 | 0.89s/step | ETA 40:25m
[Epoch 1] Step 2650/166941 Loss: 0.0473 | 0.89s/step | ETA 40:29m
[Epoch 1] Step 2700/166941 Loss: 0.0459 | 0.89s/step | ETA 40:25m
[Epoch 1] Step 2750/166941 Loss: 0.0438 | 0.88s/step | ETA 39:54m
[Epoch 1] Step 2800/166941 Loss: 0.0489 | 0.85s/step | ETA 38:57m
[Epoch 1] Step 2850/166941 Loss: 0.0443 | 0.86s/step | ETA 39:23m
[Epoch 1] Step 2900/166941 Loss: 0.0422 | 0.87s/step | ETA 39:29m
[Epoch 1] Step 2950/166941 Loss: 0.0422 | 0.87s/step | ETA 39:47m
[Epoch 1] Step 3000/166941 Loss: 0.0426 | 0.88s/step | ETA 40:01m
[Epoch 1] Step 3050/166941 Loss: 0.0426 | 0.88s/step | ETA 40:10m
[Epoch 1] Step 3100/166941 Loss: 0.0434 | 0.88s/step | ETA 40:08m
[Epoch 1] Step 3150/166941 Loss: 0.0419 | 0.88s/step | ETA 40:14m
[Epoch 1] Step 3200/166941 Loss: 0.0421 | 0.88s/step | ETA 40:12m
[Epoch 1] Step 3250/166941 Loss: 0.0406 | 0.88s/step | ETA 40:11m
[Epoch 1] Step 3300/166941 Loss: 0.0418 | 0.88s/step | ETA 40:09m
[Epoch 1] Step 3350/166941 Loss: 0.0413 | 0.88s/step | ETA 40:08m
[Epoch 1] Step 3400/166941 Loss: 0.0419 | 0.88s/step | ETA 40:09m
[Epoch 1] Step 3450/166941 Loss: 0.0407 | 0.89s/step | ETA 40:12m
[Epoch 1] Step 3500/166941 Loss: 0.0423 | 0.89s/step | ETA 40:11m
[Epoch 1] Step 3550/166941 Loss: 0.0421 | 0.87s/step | ETA 39:23m
[Epoch 1] Step 3600/166941 Loss: 0.0420 | 0.86s/step | ETA 38:59m
[Epoch 1] Step 3650/166941 Loss: 0.0409 | 0.86s/step | ETA 38:59m
[Epoch 1] Step 3700/166941 Loss: 0.0403 | 0.86s/step | ETA 39:11m
[Epoch 1] Step 3750/166941 Loss: 0.0423 | 0.87s/step | ETA 39:30m
[Epoch 1] Step 3800/166941 Loss: 0.0419 | 0.88s/step | ETA 39:40m
[Epoch 1] Step 3850/166941 Loss: 0.0403 | 0.86s/step | ETA 38:48m
[Epoch 1] Step 3900/166941 Loss: 0.0410 | 0.86s/step | ETA 38:57m
[Epoch 1] Step 3950/166941 Loss: 0.0403 | 0.87s/step | ETA 39:16m
[Epoch 1] Step 4000/166941 Loss: 0.0413 | 0.87s/step | ETA 39:36m
[Epoch 1] Step 4050/166941 Loss: 0.0410 | 0.88s/step | ETA 39:44m
[Epoch 1] Step 4100/166941 Loss: 0.0407 | 0.88s/step | ETA 39:48m
[Epoch 1] Step 4150/166941 Loss: 0.0422 | 0.87s/step | ETA 39:20m
[Epoch 1] Step 4200/166941 Loss: 0.0409 | 0.86s/step | ETA 38:48m
[Epoch 1] Step 4250/166941 Loss: 0.0396 | 0.86s/step | ETA 39:03m
[Epoch 1] Step 4300/166941 Loss: 0.0399 | 0.87s/step | ETA 39:25m
[Epoch 1] Step 4350/166941 Loss: 0.0395 | 0.88s/step | ETA 39:33m
[Epoch 1] Step 4400/166941 Loss: 0.0493 | 0.88s/step | ETA 39:44m
[Epoch 1] Step 4450/166941 Loss: 0.0469 | 0.88s/step | ETA 39:53m
[Epoch 1] Step 4500/166941 Loss: 0.0420 | 0.88s/step | ETA 39:54m
[Epoch 1] Step 4550/166941 Loss: 0.0421 | 0.88s/step | ETA 39:54m
[Epoch 1] Step 4600/166941 Loss: 0.0407 | 0.88s/step | ETA 39:51m
[Epoch 1] Step 4650/166941 Loss: 0.0389 | 0.88s/step | ETA 39:51m
[Epoch 1] Step 4700/166941 Loss: 0.0390 | 0.88s/step | ETA 39:51m
[Epoch 1] Step 4750/166941 Loss: 0.0385 | 0.89s/step | ETA 39:52m
[Epoch 1] Step 4800/166941 Loss: 0.0388 | 0.88s/step | ETA 39:50m
[Epoch 1] Step 4850/166941 Loss: 0.0389 | 0.89s/step | ETA 39:51m
[Epoch 1] Step 4900/166941 Loss: 0.0392 | 0.89s/step | ETA 39:52m
[Epoch 1] Step 4950/166941 Loss: 0.0380 | 0.89s/step | ETA 39:53m
[Epoch 1] Step 5000/166941 Loss: 0.0375 | 0.89s/step | ETA 39:50m
[Epoch 1] Step 5050/166941 Loss: 0.0381 | 0.89s/step | ETA 39:49m
[Epoch 1] Step 5100/166941 Loss: 0.0384 | 0.89s/step | ETA 39:47m
[Epoch 1] Step 5150/166941 Loss: 0.0382 | 0.87s/step | ETA 39:03m
[Epoch 1] Step 5200/166941 Loss: 0.0379 | 0.86s/step | ETA 38:34m
[Epoch 1] Step 5250/166941 Loss: 0.0387 | 0.86s/step | ETA 38:42m
[Epoch 1] Step 5300/166941 Loss: 0.0371 | 0.87s/step | ETA 39:08m
[Epoch 1] Step 5350/166941 Loss: 0.0380 | 0.86s/step | ETA 38:35m
[Epoch 1] Step 5400/166941 Loss: 0.0367 | 0.86s/step | ETA 38:46m
[Epoch 1] Step 5450/166941 Loss: 0.0373 | 0.87s/step | ETA 38:58m
[Epoch 1] Step 5500/166941 Loss: 0.0458 | 0.87s/step | ETA 39:11m
[Epoch 1] Step 5550/166941 Loss: 0.0403 | 0.86s/step | ETA 38:31m
[Epoch 1] Step 5600/166941 Loss: 0.0446 | 0.86s/step | ETA 38:36m
[Epoch 1] Step 5650/166941 Loss: 0.0407 | 0.87s/step | ETA 38:56m
[Epoch 1] Step 5700/166941 Loss: 0.0396 | 0.87s/step | ETA 39:09m
[Epoch 1] Step 5750/166941 Loss: 0.0387 | 0.88s/step | ETA 39:15m
[Epoch 1] Step 5800/166941 Loss: 0.0382 | 0.88s/step | ETA 39:21m
[Epoch 1] Step 5850/166941 Loss: 0.0377 | 0.88s/step | ETA 39:24m
